"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2020","56.10","54.90","56.10","54.60","1.40M","2.37%"
"08/20/2020","54.80","54.60","54.80","54.00","751.70K","0.00%"
"08/19/2020","54.80","54.90","55.30","53.80","1.26M","-0.18%"
"08/18/2020","54.90","53.90","55.00","53.80","1.20M","1.86%"
"08/17/2020","53.90","53.70","53.90","53.40","475.47K","0.56%"
"08/16/2020","53.60","53.80","53.90","53.50","207.60K","-0.19%"
"08/13/2020","53.70","53.60","53.90","53.50","384.41K","0.19%"
"08/12/2020","53.60","53.80","54.00","53.40","356.72K","-0.56%"
"08/11/2020","53.90","53.70","54.00","53.60","240.23K","0.56%"
"08/10/2020","53.60","53.70","54.00","53.60","187.93K","-0.19%"
"08/09/2020","53.70","54.00","54.00","53.50","337.34K","-0.56%"
"08/06/2020","54.00","54.00","54.00","53.60","326.57K","0.00%"
"08/05/2020","54.00","54.00","54.20","53.20","492.51K","0.75%"
"07/28/2020","53.60","54.00","54.00","53.50","189.52K","-0.74%"
"07/27/2020","54.00","53.70","54.00","53.60","235.84K","0.56%"
"07/26/2020","53.70","53.90","53.90","53.60","123.58K","-0.56%"
"07/23/2020","54.00","53.90","54.00","53.60","99.79K","0.00%"
"07/22/2020","54.00","53.90","54.10","53.80","234.49K","0.00%"
"07/21/2020","54.00","53.70","54.00","53.40","394.23K","1.31%"
"07/20/2020","53.30","54.20","54.20","52.50","522.63K","-1.84%"
"07/19/2020","54.30","54.30","54.50","54.10","229.72K","0.00%"
"07/16/2020","54.30","54.40","54.40","54.10","238.60K","0.00%"
"07/15/2020","54.30","54.40","54.40","54.00","292.67K","0.00%"
"07/14/2020","54.30","54.10","54.30","53.90","315.11K","0.37%"
"07/13/2020","54.10","54.10","54.40","54.00","458.35K","-0.37%"
"07/12/2020","54.30","54.30","54.50","54.00","259.21K","0.18%"
"07/09/2020","54.20","54.00","54.70","54.00","456.92K","0.37%"
"07/08/2020","54.00","54.60","54.70","54.00","526.18K","-1.10%"
"07/07/2020","54.60","54.80","55.10","54.50","932.72K","-0.55%"
"07/06/2020","54.90","55.80","55.80","54.70","774.42K","-1.44%"
"07/05/2020","55.70","55.50","56.10","55.10","1.33M","1.27%"
"07/02/2020","55.00","53.00","55.00","52.90","1.09M","3.77%"
"07/01/2020","53.00","52.00","53.20","51.80","519.93K","2.32%"
"06/30/2020","51.80","53.30","53.40","51.60","1.15M","-2.26%"
"06/29/2020","53.00","54.00","54.20","53.00","522.25K","-2.03%"
"06/28/2020","54.10","54.30","54.70","53.80","299.77K","-0.73%"
"06/25/2020","54.50","54.80","55.10","54.50","537.66K","-0.91%"
"06/24/2020","55.00","54.80","55.40","54.80","624.48K","0.92%"
"06/23/2020","54.50","55.10","55.10","54.50","590.83K","-1.09%"
"06/22/2020","55.10","55.10","55.20","54.50","659.70K","-0.18%"
"06/21/2020","55.20","55.90","56.00","54.90","427.64K","-1.43%"
"06/18/2020","56.00","54.80","56.00","54.50","2.46M","2.38%"
"06/17/2020","54.70","54.70","54.90","54.00","649.97K","1.86%"
"06/16/2020","53.70","54.50","55.00","53.70","863.15K","0.37%"
"06/15/2020","53.50","53.30","53.80","52.90","530.20K","0.38%"
"06/14/2020","53.30","54.30","54.60","53.30","801.85K","-2.38%"
"06/11/2020","54.60","55.10","55.40","54.20","887.75K","-1.97%"
"06/10/2020","55.70","54.10","56.10","54.10","812.58K","2.39%"
"06/09/2020","54.40","54.00","54.40","53.90","376.55K","0.37%"
"06/08/2020","54.20","53.80","54.40","53.70","379.59K","0.56%"
"06/07/2020","53.90","53.90","54.20","53.30","485.11K","-0.19%"
"06/04/2020","54.00","54.00","54.00","52.80","527.94K","-0.37%"
"06/03/2020","54.20","54.20","54.40","53.00","515.13K","0.37%"
"06/02/2020","54.00","54.10","54.50","53.70","977.14K","0.00%"
